OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Pitman,hsc,68,-25.0,-17.5,-17.5,-36.6,-36.3,-29.5,-27.1,-30.0,-26.3
Pitman,isov,68,-23.3,-21.7,-22.0,-35.7,-35.8,-28.7,-29.2,-29.7,-28.6
Pitman,disl,68,-25.9,-21.5,-21.9,-38.9,-38.9,-31.5,-30.7,-32.5,-30.0
Pitman,vp,68,-27.4,-20.6,-21.5,-38.9,-39.1,-32.1,-30.4,-33.0,-29.8
Pitman,vep,68,-27.4,-20.5,-21.5,-38.9,-39.1,-32.1,-30.4,-33.0,-29.8
