OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
MarieCeleste,hsc,-5,12.6,-3.3,4.3,7.2,25.1,8.2,3.5,22.1,22.3
MarieCeleste,isov,-5,-0.0,-1.4,5.7,-0.3,18.1,-2.5,-0.2,11.8,18.1
MarieCeleste,disl,-5,5.3,-3.4,3.1,4.2,22.2,3.3,1.9,17.1,19.6
MarieCeleste,vp,-5,16.5,-8.6,-1.5,3.3,21.9,5.6,-1.5,20.4,17.4
MarieCeleste,vep,-5,14.6,-9.1,-1.9,3.5,22.0,5.3,-1.1,20.0,17.6
