OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Bouvet,hsc,-4,34.4,23.8,-6.7,-17.2,24.4,2.0,-2.3,44.6,13.8
Bouvet,isov,-4,6.4,20.9,-3.3,-40.3,13.6,-25.2,-16.3,7.9,9.0
Bouvet,disl,-4,25.8,38.7,14.2,-13.6,41.4,-0.5,8.3,33.3,34.3
Bouvet,vp,-4,33.1,36.6,9.4,-12.9,40.0,2.5,7.2,33.9,30.6
