OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Bouvet,hsc,130,-7.3,11.5,21.5,-47.0,-32.4,-38.0,-25.6,-45.6,-12.5
Bouvet,isov,130,20.7,14.3,18.2,-23.9,-21.6,-10.8,-11.6,-8.9,-7.7
Bouvet,disl,130,1.3,-3.4,0.7,-50.7,-49.4,-35.5,-36.2,-34.3,-33.0
Bouvet,vp,130,-6.1,-1.3,5.5,-51.3,-48.1,-38.4,-35.1,-35.0,-29.3
