OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
Oceanographer,hsc,-0.2,-0.2,0.2,-0.5,-0.1,-0.3,-0.2,-0.6,-0.0,-1.6,1.3,-2.5,1.1,-2.3,1.5
Oceanographer,isov,0.1,-0.5,0.0,0.0,0.4,-0.1,-0.3,-0.3,0.1,-1.2,1.5,-1.8,1.5,-1.6,1.6
Oceanographer,disl,0.1,-0.4,0.3,-0.4,0.1,-0.3,-0.4,-0.5,0.2,-1.2,1.5,-2.2,1.1,-2.0,1.5
Oceanographer,vp,-0.4,-0.0,0.6,-0.3,0.2,-0.4,-0.2,-0.6,0.4,-1.8,1.0,-2.3,1.1,-1.9,1.6
Oceanographer,vep_old
