OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Oceanographer,hsc,61,5.0,2.8,1.1,-21.9,-22.4,-9.8,-11.0,-10.6,-12.2
Oceanographer,isov,61,17.4,5.9,6.2,-10.7,-10.8,2.1,-5.0,1.2,-4.8
Oceanographer,disl,61,9.1,1.4,1.9,-20.7,-20.6,-7.3,-12.1,-8.2,-11.3
Oceanographer,vp,61,4.8,2.0,4.2,-21.6,-20.6,-10.2,-11.9,-10.3,-10.0
Oceanographer,vep_old,61,5.9,16.7,16.9,-15.4,-13.8,-6.5,-1.4,-5.9,0.9
