OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Clipperton,hsc,33,-4.9,1.4,0.3,-16.8,-16.9,-10.3,-8.4,-10.0,-9.3
Clipperton,isov,33,1.0,2.1,1.2,-14.3,-14.5,-7.5,-7.1,-6.6,-8.2
Clipperton,disl,33,-1.7,1.7,0.9,-16.1,-16.3,-9.8,-8.1,-8.8,-9.3
Clipperton,vp,33,-4.3,2.5,1.7,-16.1,-16.4,-10.3,-7.9,-9.6,-9.0
