OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
Clipperton,hsc,0.2,0.7,-0.6,0.0,-1.0,0.5,1.1,-0.6,-0.5,-1.9,1.9,-1.7,1.5,-2.5,0.1
Clipperton,isov,0.6,0.7,-0.6,0.2,-0.9,0.5,1.1,-0.5,-0.6,-1.4,2.1,-1.5,1.5,-2.3,0.2
Clipperton,disl,0.4,0.7,-0.5,0.1,-1.0,0.5,1.1,-0.5,-0.6,-1.6,2.0,-1.7,1.5,-2.5,0.2
Clipperton,vp,0.3,0.8,-0.5,0.1,-1.0,0.4,1.1,-0.6,-0.6,-1.9,1.8,-1.7,1.5,-2.5,0.2
Clipperton,vep,0.2,0.8,-0.5,0.1,-1.0,0.4,1.1,-0.6,-0.6,-1.9,1.8,-1.7,1.5,-2.5,0.2
