OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
ChileRidge,hsc,41,-1.0,-0.3,3.2,-16.6,-15.6,-8.0,-8.4,-7.5,-6.1
ChileRidge,isov,41,4.1,-0.5,3.0,-12.8,-12.0,-3.9,-7.0,-3.5,-4.5
ChileRidge,disl,41,1.4,-1.3,2.7,-16.4,-15.4,-7.1,-9.0,-7.0,-6.2
ChileRidge,vp,41,-1.5,-0.4,4.1,-16.5,-15.5,-8.4,-8.7,-8.2,-5.7
ChileRidge,vep,41,-1.5,-0.4,4.1,-16.6,-15.5,-8.4,-8.7,-8.2,-5.7
