OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
ChileRidge,hsc,-0.0,-0.2,0.5,-0.4,-0.2,-0.2,-0.6,0.2,-0.0,-0.7,1.0,-1.9,0.8,-0.8,0.4
ChileRidge,isov,0.4,-0.2,0.6,-0.2,0.0,-0.0,-0.5,0.3,0.1,-0.3,1.1,-1.2,0.7,-0.4,0.4
ChileRidge,disl,0.3,-0.3,0.6,-0.4,-0.2,-0.1,-0.6,0.2,0.0,-0.4,1.1,-1.6,0.7,-0.7,0.4
ChileRidge,vp,0.0,-0.2,0.7,-0.4,-0.2,-0.2,-0.6,0.1,0.0,-0.8,1.1,-1.6,0.6,-0.8,0.4
ChileRidge,vep,0.0,-0.2,0.7,-0.4,-0.2,-0.2,-0.6,0.1,0.0,-0.8,1.1,-1.6,0.6,-0.8,0.4
