OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
SEIR88,hsc,20,2.4,0.6,-2.4,4.8,0.2,-2.9,5.6,0.3,-5.0
SEIR88,isov,20,-2.2,-2.2,-3.9,1.6,-2.8,-5.9,4.2,-2.5,-6.3
SEIR88,disl,20,0.8,-0.3,-2.4,4.6,0.2,-3.2,6.1,0.4,-4.5
SEIR88,vp,20,2.1,-1.3,-2.6,4.6,0.4,-2.8,5.8,0.9,-4.6
SEIR88,vep,20,2.0,-1.3,-2.6,4.6,0.4,-2.8,5.8,0.8,-4.6
