OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
SEIR88,hsc,29,2.6,0.1,1.6,-9.3,-9.0,-2.2,-3.9,-2.0,-3.3
SEIR88,isov,29,7.3,2.9,3.2,-6.2,-6.1,0.9,-2.6,0.8,-2.0
SEIR88,disl,29,4.2,1.1,1.6,-9.1,-9.0,-1.9,-4.4,-2.0,-3.8
SEIR88,vp,29,2.9,2.0,1.8,-9.1,-9.2,-2.3,-4.2,-2.6,-3.7
SEIR88,vep,29,3.0,2.0,1.8,-9.1,-9.2,-2.3,-4.2,-2.5,-3.7
