OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Marion,hsc,-68,-9.4,-8.2,-19.1,21.3,-15.9,18.8,6.2,-23.3,-30.9
Marion,isov,-68,-16.4,-7.0,-19.8,7.7,-30.2,7.9,0.5,-34.0,-38.5
Marion,disl,-68,-11.5,-1.4,-14.3,21.3,-16.5,18.2,10.3,-24.3,-28.2
Marion,vp,-68,-3.0,-4.4,-17.9,21.6,-16.8,22.4,8.4,-20.0,-31.2
Marion,vep,-68,-2.8,-4.6,-18.1,21.6,-16.9,22.5,8.2,-20.0,-31.4
