OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Marion,hsc,94,-10.9,-1.9,-5.8,-36.6,-38.2,-24.8,-19.7,-25.9,-22.4
Marion,isov,94,-3.8,-3.1,-5.0,-23.0,-23.9,-13.9,-14.0,-15.1,-14.9
Marion,disl,94,-8.7,-8.8,-10.5,-36.6,-37.5,-24.2,-23.8,-24.8,-25.1
Marion,vp,94,-17.2,-5.7,-6.9,-37.0,-37.3,-28.4,-21.8,-29.1,-22.1
Marion,vep,94,-17.4,-5.5,-6.7,-36.9,-37.2,-28.5,-21.6,-29.1,-21.9
