OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Marathon,hsc,69,-8.5,2.6,-3.0,-25.8,-28.6,-17.2,-11.4,-18.6,-15.9
Marathon,isov,69,-3.5,-0.7,-4.5,-18.4,-20.9,-10.8,-9.5,-12.2,-12.7
Marathon,disl,69,-6.2,-1.9,-6.2,-26.0,-28.5,-15.9,-14.1,-17.7,-17.4
Marathon,vp,69,-11.5,-0.1,-4.4,-26.3,-28.8,-19.1,-12.8,-20.2,-16.5
Marathon,vep,69,-11.6,-0.0,-4.3,-26.2,-28.8,-19.1,-12.7,-20.2,-16.4
