OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,
Marathon,hsc,-17,2.4,-7.8,-5.5,10.2,19.5,6,-8.3,7.9,-5.7,
Marathon,isov,-17,-5.3,-8,-7.1,2.3,11.1,-1.6,-11.3,0,-10.1,
Marathon,disl,-17,0.3,-5.9,-5.1,10,19.1,5.4,-6.6,7,-5.1,
Marathon,vp,-17,2.4,-6.2,-6.2,10.4,19.1,6.9,-6.7,8,-5.8,
,,,,,,,,,,,,
,,,,-24.8,-22.5,-6.8,2.5,-11,-25.3,-9.1,-22.7,-14.6
,,,,-25,-24.1,-14.7,-5.9,-18.6,-28.3,-17,-27.1,-22.3
,,,,-22.9,-22.1,-7,2.1,-11.6,-23.6,-10,-22.1,-16.7
,,,,-23.2,-23.2,-6.6,2.1,-10.1,-23.7,-9,-22.8,-14.6
