OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
Marathon,hsc,-0.3,0.6,0.5,-1.3,-1.3,-0.3,0.8,-0.4,1.3,-3.0,1.4,-3.6,1.9,-4.5,0.7
Marathon,isov,0.1,0.5,0.6,-0.5,-0.6,0.1,1.0,0.0,1.5,-2.0,1.8,-2.7,2.2,-4.0,1.1
Marathon,disl,0.0,0.5,0.5,-1.1,-1.1,-0.1,0.8,-0.2,1.3,-2.3,1.7,-3.4,1.8,-4.4,0.8
Marathon,vp,-0.3,0.7,0.7,-1.1,-1.1,-0.3,0.9,-0.3,1.4,-2.7,1.3,-3.3,2.0,-4.5,0.9
Marathon,vep,-0.3,0.7,0.7,-1.1,-1.1,-0.3,0.9,-0.3,1.4,-2.7,1.3,-3.3,2.0,-4.5,0.9
