#OTFname,rheology,mean_thermal,OTF1,OTF2,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Garrett,hsc,27,2.1,-0.7,-1.0,-5.1,-13.5,-13.5,-8.3,-8.9,-10.0,-8.0
Garrett,isov,27,6.6,6.5,0.3,1.2,-11.6,-11.1,-5.7,-7.6,-6.9,-5.7
Garrett,disl,27,2.3,2.4,-1.7,-0.3,-13.3,-12.7,-7.9,-9.2,-8.9,-7.0
Garrett,vp,27,0.3,0.5,-0.9,0.4,-13.3,-12.6,-8.2,-9.0,-9.3,-6.7
Garrett,vep,27,0.3,0.5,-0.9,0.4,-13.3,-12.6,-8.2,-9.0,-9.3,-6.7
