OTFname,rheology,OTF1,OTF2,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF1_min,OTF1_max,OTF2_min,OTF2_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
Garrett,hsc,0.5,0.2,-0.4,-0.4,-1.2,-0.9,0.1,-0.1,-0.8,0.4,-1.1,1.6,-2.0,2.0,-3.2,-0.0,-2.1,0.2
Garrett,isov,0.7,0.6,-0.6,-0.1,-1.3,-0.9,0.0,-0.5,-0.7,0.3,-1.5,1.7,-1.4,2.2,-3.4,0.0,-2.0,0.1
Garrett,disl,0.6,0.5,-0.6,0.1,-1.3,-0.9,0.1,-0.5,-0.7,0.4,-1.7,1.7,-1.5,2.2,-3.2,-0.0,-2.0,0.2
Garrett,vp,0.4,0.3,-0.4,0.3,-1.3,-0.8,0.1,-0.5,-0.7,0.3,-1.7,1.7,-1.8,2.0,-3.1,0.1,-1.9,0.2
Garrett,vep,0.4,0.3,-0.4,0.3,-1.3,-0.8,0.1,-0.5,-0.7,0.3,-1.7,1.7,-1.8,2.0,-3.1,0.1,-1.9,0.2
