OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
DuTroit,hsc,-0.0,-0.3,0.1,-0.1,-0.7,-0.4,-0.1,-2.0,-2.6,-1.9,1.1,-2.4,1.2,-3.3,1.6
DuTroit,isov,0.3,-0.3,0.1,0.7,0.2,0.2,0.2,-1.4,-2.1,-1.3,1.5,-1.4,1.9,-2.3,2.3
DuTroit,disl,0.3,-0.5,-0.0,0.1,-0.5,-0.2,-0.2,-1.8,-2.5,-1.3,1.4,-2.0,1.5,-3.1,1.9
DuTroit,vp,-0.2,-0.1,0.3,0.2,-0.4,-0.3,0.1,-2.0,-2.2,-2.0,1.1,-2.0,1.5,-2.6,1.9
DuTroit,vep,-0.2,-0.1,0.3,0.2,-0.3,-0.3,0.1,-2.0,-2.2,-2.0,1.1,-2.0,1.5,-2.6,1.9
