OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
DuTroit,hsc,90,-2.7,-4.9,-6.4,-31.7,-32.8,-19.5,-18.1,-20.2,-22.7
DuTroit,isov,90,10.2,2.9,1.7,-13.8,-14.8,-3.3,-7.6,-3.4,-11.1
DuTroit,disl,90,0.3,-10.2,-8.5,-31.5,-32.2,-17.2,-23.2,-17.8,-24.7
DuTroit,vp,90,-5.5,-8.5,-6.5,-32.5,-32.6,-21.4,-21.9,-20.5,-23.8
DuTroit,vep_old,90,-10.1,-4.7,-6.4,-30.8,-32.6,-22.7,-17.9,-23.5,-22.2
