OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
DuTroit,hsc,82,3.2,8.3,10.9,5.0,10.5,5.2,3.4,24.0,24.6
DuTroit,isov,82,-9.7,0.4,2.9,-12.9,-7.5,-10.9,-7.1,7.2,13.0
DuTroit,disl,82,0.2,13.5,13.0,4.8,9.9,3.0,8.4,21.6,26.5
DuTroit,vp,82,6.0,11.9,11.0,5.8,10.3,7.2,7.2,24.3,25.7
DuTroit,vep_old,82,10.6,8.1,10.9,4.1,10.3,8.4,3.2,27.3,24.1
