OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Kane,hsc,2,-1.5,2.9,-5.1,12.4,9.1,14.6,23.7,6.2,-3.6
Kane,isov,2,-10.3,0.3,-5.7,-0.3,-2.3,3.7,17.2,-5.1,-8.7
Kane,disl,2,-5.9,4.8,-1.2,10.3,8.2,12.0,23.9,3.2,-1.0
Kane,vp,2,4.4,1.4,-6.0,9.4,7.6,16.7,21.2,7.3,-4.4
Kane,vep,2,4.4,1.4,-6.0,9.4,7.6,16.8,21.1,7.4,-4.5
