OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
Kane,hsc,0.1,1.3,1.2,-0.1,-1.3,-1.5,-0.9,-0.7,0.8,-2.9,2.2,-1.8,1.5,-3.4,0.8
Kane,isov,0.6,1.3,1.1,0.8,-0.2,-0.8,-0.4,-0.0,0.9,-1.5,2.6,-0.3,2.1,-1.9,1.5
Kane,disl,0.5,1.1,0.9,0.1,-1.0,-1.3,-0.9,-0.3,0.6,-2.0,2.5,-1.1,1.6,-2.8,0.8
Kane,vp,-0.1,1.6,1.4,0.3,-0.8,-1.6,-0.4,-0.7,1.0,-1.8,2.1,-1.1,2.1,-2.8,1.5
Kane,vep,-0.1,1.6,1.4,0.3,-0.8,-1.6,-0.4,-0.7,1.0,-1.8,2.1,-1.1,2.1,-2.8,1.5
