#OTFname,rheology,RMBAshift,OTF1,OTF2,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Discovery,hsc,-15,-5.3,1.1,-4.8,2.0,2.6,9.8,1.7,-1.2,5.9,2.5
Discovery,isov,-15,-7.6,-2.9,-5.2,-1.6,0.9,7.6,-0.0,-1.9,4.4,1.1
Discovery,disl,-15,-4.9,-0.7,-4.0,-0.9,2.4,9.0,1.6,-0.9,5.8,1.9
Discovery,vp,-15,-4.0,-0.1,-4.3,-1.1,2.4,9.0,1.7,-1.0,5.8,1.8
Discovery,vep,-15,-4.0,-0.1,-4.3,-1.1,2.4,9.0,1.7,-1.0,5.8,1.8
