OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
AtlantisII,hsc3,41,-33.5,-31.8,-32.0,-22.4,-24.0,-29.6,-30.0,-16.9,-28.8
AtlantisII,isov3,41,-44.2,-35.6,-36.4,-37.1,-39.7,-43.8,-36.1,-31.0,-34.6
AtlantisII,disl3,41,-31.7,-21.7,-22.4,-18.2,-21.0,-28.1,-20.8,-12.6,-21.1
AtlantisII,vp3,41,-24.3,-28.6,-26.8,-20.9,-22.0,-26.8,-26.2,-11.4,-23.7
