OTFname,rheology,mean_thermal,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
AtlantisII,hsc,105,0.9,-9.4,-7.5,-38.2,-36.3,-28.3,-24.7,-26.1,-20.5
AtlantisII,isov,105,14.6,0.2,0.5,-16.9,-16.4,-9.4,-10.3,-8.0,-9.2
AtlantisII,disl,105,0.3,-14.9,-16.1,-37.9,-38.3,-27.9,-27.5,-27.9,-26.8
AtlantisII,vp,105,-11.5,-7.6,-7.5,-34.0,-34.1,-30.0,-21.0,-29.8,-19.5
AtlantisII,vep,105,-11.4,-6.9,-7.4,-33.4,-34.0,-29.7,-20.2,-29.8,-19.3
