OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
AtlantisII,hsc,1.1,0.8,0.7,-0.4,0.5,0.6,0.6,-1.4,0.8,-1.6,2.8,-1.3,0.7,-3.1,3.2
AtlantisII,isov,1.4,1.0,0.9,0.8,1.7,1.2,1.3,-0.6,1.0,-1.7,3.1,-0.4,1.8,-1.6,4.5
AtlantisII,disl,1.3,0.8,0.6,0.1,0.9,0.8,0.9,-1.2,0.7,-1.7,3.0,-1.0,1.1,-2.6,3.6
AtlantisII,vp,0.8,1.4,1.2,0.4,1.2,0.8,1.4,-1.2,1.2,-1.7,2.3,-0.4,1.6,-2.1,3.5
AtlantisII,vep,0.8,1.4,1.2,0.5,1.2,0.8,1.4,-1.2,1.2,-1.7,2.3,-0.4,1.7,-2.2,3.5
