OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2
Vlamingh,hsc,10,-2.6,-9.5,-5.2,6.4,4.6,5.2,4.4,5.7,1.6
Vlamingh,isov,10,-10.0,-7.0,-4.5,2.6,0.9,-0.8,3.1,0.3,-0.2
Vlamingh,disl,10,-6.3,-7.2,-4.4,6.2,4.3,3.5,5.2,4.3,1.8
Vlamingh,vp,10,-1.5,-9.1,-6.5,6.3,4.3,5.3,4.4,5.8,0.9
Vlamingh,vep,10,-1.5,-9.1,-6.6,6.3,4.3,5.3,4.4,5.8,0.8
