OTFname,rheology,OTF,FZ1,FZ2,MOR1,MOR2,IC1,OC1,IC2,OC2,OTF_min,OTF_max,MOR1_min,MOR1_max,MOR2_min,MOR2_max
Vlamingh,hsc,0.3,0.8,0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.0,-0.5,1.0,-1.2,0.3,-1.2,0.8
Vlamingh,isov,0.6,0.6,0.2,-0.3,-0.2,-0.2,-0.4,-0.2,-0.0,-0.1,1.3,-1.0,0.3,-1.1,0.7
Vlamingh,disl,0.5,0.7,0.2,-0.4,-0.3,-0.3,-0.4,-0.3,-0.1,-0.2,1.2,-1.1,0.3,-1.2,0.7
Vlamingh,vp,0.3,0.8,0.4,-0.4,-0.3,-0.4,-0.4,-0.4,0.0,-0.5,1.0,-1.1,0.3,-1.2,0.7
Vlamingh,vep,0.3,0.8,0.4,-0.4,-0.3,-0.4,-0.4,-0.4,0.0,-0.5,1.0,-1.1,0.3,-1.2,0.7
