88.1134183217	-42.1431686574	0	17.957201994
88.1215135153	-42.1364611799	1.00153698592	18.0144504276
88.1296070075	-42.1297531224	2.00307455895	18.4898018942
88.1376987983	-42.1230444858	3.00461266957	19.5121644778
88.1457888881	-42.1163352705	4.00615126829	20.4971345762
88.153877277	-42.1096254771	5.0076903056	21.1135324547
88.1619639652	-42.1029151062	6.00922973201	21.5218544406
88.1700489531	-42.0962041584	7.01076949801	21.4648581633
88.1781322407	-42.0894926342	8.0123095541	20.9817725426
88.1862138283	-42.0827805343	9.01384985078	20.4135882188
88.1942937161	-42.0760678593	10.0153903386	19.7640940755
88.2023719044	-42.0693546096	11.0169309679	19.029169113
88.2104483933	-42.062640786	12.0184716893	18.5589345238
88.2185231831	-42.0559263889	13.0200124534	18.2358711712
88.2265962739	-42.049211419	14.0215532105	18.2282741621
88.2346676661	-42.0424958768	15.0230939112	18.4185546117
88.2427373597	-42.035779763	16.0246345059	18.6794104571
88.2508053551	-42.0290630781	17.0261749452	19.0131127255
88.2588716524	-42.0223458227	18.0277151796	19.2869334404
88.2669362518	-42.0156279973	19.0292551596	19.4920584876
88.2749991537	-42.0089096026	20.0307948357	19.7562492169
88.2830603581	-42.0021906392	21.0323341583	20.2136098529
88.2911198653	-41.9954711076	22.033873078	21.1240273327
88.2991776756	-41.9887510084	23.0354115452	22.2340914684
88.3072337891	-41.9820303421	24.0369495105	23.539733907
88.315288206	-41.9753091095	25.0384869244	24.9330993265
88.3233409267	-41.968587311	26.0400237373	26.1052892442
88.3313919512	-41.9618649473	27.0415598998	27.1142750633
88.3394412798	-41.9551420188	28.0430953624	27.9551109533
88.3474889128	-41.9484185263	29.0446300755	28.5726118292
88.3555348503	-41.9416944702	30.0461639897	29.1748149653
88.3635790926	-41.9349698513	31.0476970554	29.7077536295
88.3716216398	-41.92824467	32.0492292232	30.0760741458
88.3796624923	-41.9215189269	33.0507604436	30.3437836338
88.3877016502	-41.9147926226	34.052290667	30.4852973915
88.3957391137	-41.9080657577	35.053819844	30.5561260566
88.4037748831	-41.9013383328	36.0553479251	30.4207825528
88.4118089586	-41.8946103485	37.0568748607	30.0549799969
88.4198413404	-41.8878818053	38.0584006014	29.3604114611
88.4278720286	-41.8811527039	39.0599250976	28.5222653931
88.4359010237	-41.8744230447	40.0614483	27.4040385247
88.4439283257	-41.8676928285	41.0629701589	26.6790079846
88.4519539349	-41.8609620557	42.0644906249	26.2174202863
88.4599778514	-41.854230727	43.0660096485	25.890794383
88.4680000756	-41.847498843	44.0675271801	25.6929453884
88.4760206077	-41.8407664041	45.0690431704	25.430176095
88.4840394478	-41.8340334111	46.0705575698	25.1335268559
88.4920565962	-41.8272998645	47.0720703288	24.6073801186
88.5000720531	-41.8205657648	48.0735813979	23.9067348622
88.5080858187	-41.8138311127	49.0750907276	23.3101876186
88.5160978933	-41.8070959087	50.0765982684	22.6460683049
88.5241082771	-41.8003601535	51.0781039709	22.1732497374
88.5321169702	-41.7936238475	52.0796077855	21.8256930744
88.540123973	-41.7868869915	53.0811096628	21.3652973402
88.5481292856	-41.7801495859	54.0826095532	21.3493993281
88.5561329083	-41.7734116313	55.0841074073	21.2706970116
88.5641348412	-41.7666731284	56.0856031756	21.4584739074
88.5721350847	-41.7599340777	57.0870968086	21.7767020944
88.5801336389	-41.7531944798	58.0885882568	21.9870635231
88.588130504	-41.7464543353	59.0900774707	22.1936789444
88.5961256804	-41.7397136447	60.0915644009	22.2082204394
88.6041191681	-41.7329724087	61.0930489978	21.9163943364
88.6121109675	-41.7262306279	62.094531212	21.2908642449
88.6201010787	-41.7194883027	63.0960109939	20.3226598738
88.6280895019	-41.7127454338	64.0974882941	19.2879489431
88.6360762375	-41.7060020218	65.0989630632	18.5380762315
88.6440612856	-41.6992580673	66.1004352516	17.8645892263
88.6520446465	-41.6925135707	67.1019048098	17.5046548678
88.6600263203	-41.6857685329	68.1033716884	17.2020604573
